accession	id	country_code	serotype	genotype	year	Country ISO3	Continent	Country	Sub-region	Region	Int-region	Is Developed	Location
FJ410291	DENV2_FJ410291_AsianAmerican_NI_2007	NI	DENV2	AsianAmerican	2007.0	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
GQ398285	DENV2_GQ398285_AsianAmerican_PR_1994	PR	DENV2	AsianAmerican	1994.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU687220	DENV2_EU687220_AsianAmerican_VE_1996	VE	DENV2	AsianAmerican	1996.0	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
JN819419	DENV2_JN819419_AsianAmerican_BR_2000	BR	DENV2	AsianAmerican	2000.0	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
KJ734727	DENV2_KJ734727_Asian_II_TW_2014	TW	DENV2	AsianII	2014.0	TWN	Asia	Republic of China	Eastern Asia	Asia	Eastern Asia		Eastern Asia
EU482670	DENV2_EU482670_Asian_I_VN_2006	VN	DENV2	AsianI	2006.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JN851121	DENV2_JN851121_Cosmopolitan_SG_2008	SG	DENV2	Cosmopolitan	2008.0	SGP	Asia	Singapore	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EF105384	DENV2_EF105384_Sylvatic_SN_1970	SN	DENV2	Sylvatic	1970.0	SEN	Africa	Senegal	Sub-Saharan Africa	Africa	Western Africa	Developing	Africa
EU529706	DENV2_EU529706_AsianAmerican_PR_2006	PR	DENV2	AsianAmerican	2006.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU569708	DENV2_EU569708_AsianAmerican_PR_1995	PR	DENV2	AsianAmerican	1995.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
KF360005	DENV2_KF360005_Cosmopolitan_PK_2010	PK	DENV2	Cosmopolitan	2010.0	PAK	Asia	Pakistan	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
AF169679	DENV2_AF169679_Asian_I_TH_1993	TH	DENV2	AsianI	1993.0	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
KF955402	DENV2_KF955402_Asian_I_KH_2008	KH	DENV2	AsianI	2008.0	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ639704	DENV2_FJ639704_Asian_I_KH_2003	KH	DENV2	AsianI	2003.0	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU179858	DENV2_EU179858_Cosmopolitan_BN_2005	BN	DENV2	Cosmopolitan	2005.0	BRN	Asia	Brunei Darussalam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FM210235	DENV2_FM210235_AsianAmerican_VN_2005	VN	DENV2	AsianAmerican	2005.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482603	DENV2_EU482603_AsianAmerican_NI_2007	NI	DENV2	AsianAmerican	2007.0	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
DQ181803	DENV2_DQ181803_Asian_I_TH_1985	TH	DENV2	AsianI	1985.0	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
M84727	DENV2_M84727__Asian_I_TH_1984	TH	DENV2	AsianI	1984.0	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ205885	DENV2_FJ205885_AsianAmerican_NI_2008	NI	DENV2	AsianAmerican	2008.0	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
JF730049	DENV2_JF730049_Asian_I_VN_2007	VN	DENV2	AsianI	2007.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ850108	DENV2_FJ850108_AsianAmerican_VE_2008	VE	DENV2	AsianAmerican	2008.0	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
KF041233	DENV2_KF041233_Cosmopolitan_PK_2011	PK	DENV2	Cosmopolitan	2011.0	PAK	Asia	Pakistan	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
KJ189370	DENV2_KJ189370_AsianAmerican_MX_2011	MX	DENV2	AsianAmerican	2011.0	MEX	Americas	Mexico	Latin America and the Caribbean	Americas	Central America	Developing	Central America
FM210214	DENV2_FM210214_Asian_I_VN_2004	VN	DENV2	AsianI	2004.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ547067	DENV2_FJ547067_Asian_I_VN_2007	VN	DENV2	AsianI	2007.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU920842	DENV2_EU920842_AsianAmerican_SR_2005	SR	DENV2	AsianAmerican	2005.0	SUR	Americas	Suriname	Latin America and the Caribbean	Americas	South America	Developing	South America
EU482575	DENV2_EU482575_AsianAmerican_PR_1987	PR	DENV2	AsianAmerican	1987.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
KJ010186	DENV2_KJ010186_Cosmopolitan_PK_2013	PK	DENV2	Cosmopolitan	2013.0	PAK	Asia	Pakistan	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
GQ868631	DENV2_GQ868631_Asian_I_KH_2008	KH	DENV2	AsianI	2008.0	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482464	DENV2_EU482464_Asian_I_VN_2006	VN	DENV2	AsianI	2006.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
HM181971	DENV2_HM181971_AsianAmerican_BR_2008	BR	DENV2	AsianAmerican	2008.0	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
JX475906	DENV2_JX475906_Cosmopolitan_IN_2009	IN	DENV2	Cosmopolitan	2009.0	IND	Asia	India	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
EU482607	DENV2_EU482607_AsianAmerican_VE_2007	VE	DENV2	AsianAmerican	2007.0	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
